ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
23,54,Timaru.District,47900,47885,11,17,1,0,1,0,36,4
23,12,Hauraki.District,21000,20996,2,4,0,0,1,0,21,4
23,37,Kawerau.District,7490,7476,13,18,0,1,1,0,6,4
23,34,Tauranga.City,144700,144517,155,210,0,26,37,0,128,4
23,59,Queenstown-Lakes.District,41700,41688,7,14,0,1,1,0,42,4
23,14,Matamata-Piako.District,36000,35999,1,1,0,0,0,0,31,4
23,47,Grey.District,13750,13750,0,0,0,0,0,0,12,4
23,7,Tasman.District,54800,54799,1,1,0,0,0,0,59,4
23,4,Masterton.District,26800,26774,22,35,0,1,1,0,20,4
23,8,Far.North.District,68500,68448,44,60,0,5,7,0,76,4
23,9,Whangarei.District,96000,95758,173,278,0,26,39,0,109,4
23,24,Whanganui.District,47300,47299,1,1,0,0,0,0,43,4
23,6,South.Wairarapa.District,11100,11079,13,25,0,2,5,0,7,4
23,49,Hurunui.District,12950,12938,9,14,0,0,2,0,14,4
23,41,Hastings.District,85000,84991,5,9,0,1,1,0,90,4
23,5,Carterton.District,9690,9678,10,15,0,1,1,0,12,4
23,32,Taupo.District,39300,39246,46,62,0,4,4,0,33,4
23,19,Central.Hawke's.Bay.District,14850,14850,0,0,0,0,0,0,12,4
23,16,Waipa.District,56200,56192,6,9,0,0,1,0,56,4
23,1,Upper.Hutt.City,46000,45984,12,20,1,0,2,0,53,4
23,2,Lower.Hutt.City,108700,108460,182,272,0,20,34,0,106,4
23,39,Gisborne.District,49300,49299,0,1,0,0,0,0,56,4
23,15,Hamilton.City,169500,169470,20,37,0,2,6,0,151,4
23,28,Tararua.District,18650,18576,55,89,0,11,18,0,13,4
23,36,Whakatane.District,37100,37098,2,2,0,0,0,0,57,4
23,64,Invercargill.City,56200,56067,105,150,0,14,24,0,51,4
23,51,Christchurch.City,385500,385315,137,218,2,19,28,0,433,4
23,44,Marlborough.District,49200,49029,136,198,0,19,25,0,54,4
23,43,Nelson.City,52900,52847,49,66,0,6,10,0,59,4
23,18,South.Waikato.District,25100,25100,0,0,0,0,0,0,26,4
23,45,Kaikoura.District,4110,4105,5,8,0,0,0,0,4,4
23,60,Dunedin.City,131700,131446,195,292,1,29,40,0,133,4
23,31,Waitomo.District,9490,9490,0,0,0,0,0,0,10,4
23,29,Horowhenua.District,35000,34995,4,7,0,1,1,0,32,4
23,23,Ruapehu.District,12750,12745,4,6,0,0,0,0,15,4
23,40,Wairoa.District,8680,8680,0,0,0,0,0,0,16,4
23,17,Ōtorohanga.District,10500,10499,1,1,0,0,0,0,9,4
23,65,Auckland,1642800,1642228,435,636,2,68,97,0,1646,4
23,55,Mackenzie.District,5140,5140,0,0,0,0,0,0,6,4
23,3,Wellington.City,210400,210356,32,49,0,7,10,0,176,4
23,21,Stratford.District,9860,9858,2,2,2,0,0,0,7,4
23,25,Rangitikei.District,15750,15750,0,0,0,0,0,0,16,4
23,42,Napier.City,65000,64964,26,39,0,3,6,0,61,4
23,62,Southland.District,32100,32049,32,59,0,5,5,0,30,4
23,0,Porirua.City,59100,58964,111,165,0,14,19,0,45,4
23,53,Ashburton.District,34800,34725,55,84,0,10,14,0,24,4
23,50,Waimakariri.District,62800,62717,54,96,0,7,19,0,54,4
23,56,Waimate.District,8080,8077,2,3,0,1,1,0,7,4
23,63,Gore.District,12800,12716,66,96,0,11,17,0,5,4
23,46,Buller.District,9840,9812,20,36,0,2,2,0,13,4
23,58,Central.Otago.District,23100,23078,14,25,0,3,4,0,24,4
23,20,New.Plymouth.District,84400,84380,16,27,0,1,2,0,94,4
23,10,Kaipara.District,24100,24047,47,61,0,8,10,0,25,4
23,48,Westland.District,8960,8957,4,4,1,1,1,0,8,4
23,38,Ōpōtiki.District,9720,9720,0,0,0,0,0,0,11,4
23,35,Rotorua.District,75100,75071,20,31,0,2,4,0,71,4
23,61,Clutha.District,18350,18323,27,34,0,2,2,0,19,4
23,30,Kapiti.Coast.District,56000,55993,6,8,0,0,0,0,64,4
23,27,Palmerston.North.City,88300,88243,47,68,0,6,9,0,96,4
23,11,Thames-Coromandel.District,31500,31466,27,37,0,5,6,0,30,4
23,57,Waitaki.District,23200,23156,31,50,0,6,10,0,23,4
23,22,South.Taranaki.District,28600,28588,7,14,0,2,2,0,24,4
23,52,Selwyn.District,65600,65534,53,78,1,11,14,0,66,4
23,13,Waikato.District,79900,79737,135,194,0,20,27,0,81,4
23,33,Western.Bay.of.Plenty.District,53900,53806,68,119,1,9,14,0,62,4
23,26,Manawatu.District,31700,31675,18,28,0,1,6,0,45,4
24,53,Ashburton.District,34800,34714,61,95,0,6,11,0,36,4
