ticks,who,name,pop.0,susceptible,cum.cases,cum.infected,cum.recovered,new.cases,new.infected,new.recovered,new.tests,alert.level
16,15,Nelson.Marlborough,150280,150250,23,34,0,4,4,0,164,4
16,2,Auckland,538840,538777,51,74,0,4,7,0,531,4
16,3,Counties.Manukau,557790,557741,38,55,0,6,8,0,577,4
16,16,West.Coast,32445,32443,1,2,0,1,1,0,27,4
16,13,Capital.and.Coast,316620,316515,98,128,0,11,13,0,309,4
16,19,Southern,328230,328170,35,64,1,3,8,0,315,4
16,4,Waikato,417130,417107,13,26,0,1,2,0,401,4
16,1,Waitemata,622350,622302,35,59,0,2,7,0,617,4
16,5,Lakes,110040,110018,23,27,0,0,1,0,126,4
16,6,Bay.of.Plenty,236820,236809,8,13,0,0,1,0,221,4
16,0,Northland,178500,178482,17,20,1,0,0,0,158,4
16,18,South.Canterbury,60025,60011,9,14,0,3,3,0,55,4
16,11,MidCentral,178240,178236,4,5,0,2,2,0,173,4
16,7,Tairawhiti,48965,48939,21,29,0,5,7,0,36,4
16,17,Canterbury,562870,562804,52,76,1,9,11,0,584,4
16,9,Hawkes.Bay,165360,165347,12,14,0,2,2,0,177,4
16,12,Hutt.Valley,149270,149197,47,86,0,4,11,0,139,4
16,10,Whanganui,64565,64565,0,0,0,0,0,0,69,4
16,8,Taranaki,119640,119637,2,4,0,0,0,0,124,4
16,14,Wairarapa,44845,44841,1,4,0,0,0,0,41,4
17,11,MidCentral,178240,178236,4,5,0,0,0,0,162,4
17,13,Capital.and.Coast,316620,316487,118,156,0,20,28,0,316,4
17,6,Bay.of.Plenty,236820,236809,8,13,0,0,0,0,225,4
17,14,Wairarapa,44845,44841,1,4,0,0,0,0,42,4
17,8,Taranaki,119640,119635,4,6,0,2,2,0,126,4
17,7,Tairawhiti,48965,48932,27,36,0,6,7,0,49,4
17,2,Auckland,538840,538768,57,83,0,6,9,0,555,4
17,15,Nelson.Marlborough,150280,150246,26,38,0,3,4,0,153,4
17,9,Hawkes.Bay,165360,165341,18,20,0,6,6,0,142,4
17,4,Waikato,417130,417102,16,31,0,3,5,0,403,4
17,5,Lakes,110040,110012,26,33,0,3,6,0,109,4
17,1,Waitemata,622350,622294,40,67,0,5,8,0,611,4
17,0,Northland,178500,178478,19,24,1,2,4,0,204,4
17,18,South.Canterbury,60025,60004,13,21,0,4,7,0,58,4
17,3,Counties.Manukau,557790,557734,41,62,0,3,7,0,534,4
17,16,West.Coast,32445,32443,1,2,0,0,0,0,34,4
17,17,Canterbury,562870,562796,59,84,1,7,8,0,537,4
17,10,Whanganui,64565,64565,0,0,0,0,0,0,62,4
17,19,Southern,328230,328161,38,73,1,3,9,0,306,4
17,12,Hutt.Valley,149270,149186,51,97,0,4,11,0,158,4
18,4,Waikato,417130,417100,17,33,0,1,2,0,403,4
18,18,South.Canterbury,60025,60001,15,24,0,2,3,0,66,4
18,5,Lakes,110040,110010,28,35,0,2,2,0,114,4
18,14,Wairarapa,44845,44841,1,4,0,0,0,0,42,4
18,6,Bay.of.Plenty,236820,236808,8,14,0,0,1,0,232,4
18,0,Northland,178500,178477,19,25,1,0,1,0,198,4
18,1,Waitemata,622350,622283,48,78,0,8,11,0,635,4
18,9,Hawkes.Bay,165360,165339,20,22,0,2,2,0,197,4
18,17,Canterbury,562870,562781,70,99,1,11,15,0,561,4
18,7,Tairawhiti,48965,48930,29,38,0,2,2,0,58,4
18,16,West.Coast,32445,32443,1,2,0,0,0,0,27,4
18,11,MidCentral,178240,178235,5,6,0,1,1,0,163,4
18,15,Nelson.Marlborough,150280,150240,29,44,0,3,6,0,143,4
18,13,Capital.and.Coast,316620,316468,131,175,0,13,19,0,313,4
18,12,Hutt.Valley,149270,149177,58,106,0,7,9,0,155,4
18,2,Auckland,538840,538758,67,93,0,10,10,0,541,4
18,8,Taranaki,119640,119635,4,6,0,0,0,0,94,4
18,19,Southern,328230,328157,40,77,1,2,4,0,356,4
18,10,Whanganui,64565,64565,0,0,0,0,0,0,58,4
18,3,Counties.Manukau,557790,557731,42,65,0,1,3,0,550,4
19,3,Counties.Manukau,557790,557718,50,78,0,8,13,0,571,4
19,11,MidCentral,178240,178235,5,6,0,0,0,0,167,4
19,14,Wairarapa,44845,44841,1,4,0,0,0,0,39,4
19,8,Taranaki,119640,119632,6,9,0,2,3,0,124,4
19,2,Auckland,538840,538748,71,103,1,4,10,1,531,4
19,18,South.Canterbury,60025,59998,18,27,0,3,3,0,55,4
19,12,Hutt.Valley,149270,149169,62,114,0,4,8,0,151,4
19,19,Southern,328230,328147,47,87,1,7,10,0,310,4
19,6,Bay.of.Plenty,236820,236805,10,17,0,2,3,0,245,4
19,9,Hawkes.Bay,165360,165335,23,26,0,3,4,0,146,4
19,16,West.Coast,32445,32443,1,2,0,0,0,0,34,4
19,4,Waikato,417130,417097,18,36,0,1,3,0,381,4
19,5,Lakes,110040,110006,32,39,0,4,4,0,111,4
19,0,Northland,178500,178474,22,28,1,3,3,0,181,4
19,1,Waitemata,622350,622273,55,88,0,7,10,0,672,4
